Cluster,OID_,Fault_proximity,Basement_dummy,Lito_Fans,Lito_Shales,Precipitation,Temperature,Urban_dummy,Vertical_velocity,Age_1980,X,Y
4410,162133.3795,9232.325744,0,0.930769231,0,83.95353325,15.07861001,1,1.962615333,0.771794872,993959.1269,1000191.456
4411,164343.261,9438.743985,0,0.809384164,0,84.27373771,15.04150793,1,2.063988235,0.967741935,993966.9901,1000518.085
4412,164639.9964,9634.225444,0,0.733576642,0,84.96855807,14.9951549,1,2.097223134,0.937956204,993996.3852,1000791.576
4413,204875.4694,9815.9198,0,0.885714286,0,85.48681725,14.96420629,1,2.107102814,0.946938776,993935.6084,1001140.709
4414,185818.8384,9999.882885,0,1,0,86.36531157,14.92796051,1,2.101154978,0.925764192,993936.9112,1001413.05
4415,170851.8768,10219.87488,0,1,0,87.63525756,14.88640107,1,2.076005989,0.471014493,993972.1467,1001696.794
4416,169730.9381,10418.42831,0.010309278,1,0,88.63388408,14.8611898,1,2.068606428,0.24742268,993947.4322,1002005.211
4417,169587.1919,10637.85777,0,1,0,89.87516261,14.83290867,1,2.07795882,0.616161616,993979.3358,1002298.013
4419,172414.3547,11062.06839,0,1,0,92.26418808,14.78628383,1,2.251022033,0.128440367,994000.6379,1002964.476
4420,167893.536,11220.37253,0,0.932432432,0,93.05947969,14.77116979,1,2.285769488,0.518018018,993984.2209,1003232.973
4421,167702.0408,11407.16186,0,0.649659864,0,93.90800845,14.75438683,1,2.303386395,0.5,993977.706,1003527.491
4422,403330.2347,11620.61479,0,0.816326531,0,94.81277999,14.73551943,1,2.301214347,0.37244898,993962.7041,1003864.101
4423,422810.4601,11818.39148,0,0.851449275,0,95.52586724,14.71955102,1,2.273960498,0.677536232,994008.5214,1004105.237
4424,422430.4444,12006.74904,0,1,0,96.10415649,14.70575057,1,2.246017589,0.888888889,994099.1095,1004283.42
4427,424086.48,12495.70128,0,0,0,98.2208783,14.6522559,1,2.304587402,0.56,993988.7767,1005342.701
4429,424296.5,12851.58501,0,0,0,99.24686432,14.62642956,1,2.831386805,0.666666667,993829.4941,1005946.207
4430,433511,12849.3896,0,0,0,100.0623146,14.60537509,1,3.168846955,0.071428571,993937.0658,1006287.673
4431,433828,12993.14922,0,0,0,100.5566711,14.59614754,1,3.104009867,0,993864.065,1006538.5
4436,409570.8009,13420.62738,0,0,0,103.551374,14.56852816,1,2.756043286,0.972850679,993939.1532,1008096.295
4437,409457.6081,13476.79455,0,0,0,103.6885105,14.56975442,1,2.7843146,1,993914.7032,1008189.384
4439,409104.64,13792.31067,0,0,0,105.0809165,14.5731657,1,3.118125633,0.386666667,993860.4329,1008929.277
4440,409116.9423,13892.23427,0,0,0,105.5815136,14.57130089,1,3.115892571,0.634615385,993855.1307,1009190.033
4441,407816.7073,13951.17112,0,0,0,106.3912225,14.55989235,1,3.123812196,0.658536585,993944.1528,1009573.922
4442,408160.3099,14064.94349,0,0,0,106.7965785,14.55536421,1,3.040958898,0.637426901,993907.5895,1009822.95
4443,408310.6667,14063.19475,0,0,0,107.3390629,14.54240748,1,2.941588597,0.53030303,993984.6451,1010071.037
4447,393063,14419.38214,0,0,0,109.8183899,14.49319935,1,3.311860085,0.125,994109.5252,1011448.106
4448,383194.2407,14596.76396,0.003913894,0,0,109.967282,14.49230413,1,3.229409745,0.068493151,993999.0303,1011645.957
4449,381475.4219,14653.96308,0,0,0,110.310257,14.48501774,1,3.182500351,0.202872531,993973.9936,1011885.887
4450,383845.8383,14441.22333,0,0,0,110.8454087,14.47406987,1,3.223781324,0.249676585,993965.3867,1012223.475
4451,384319.6691,14202.79293,0,0,0,111.3083508,14.4657061,1,3.231064617,0.164874552,993962.1851,1012505.314
4452,388286.5745,14007.01039,0,0,0,111.7322168,14.45866047,1,3.17500349,0.093085106,993975.3302,1012748.835
4453,388847.5385,13518.59596,0,0,0,112.4206848,14.45281344,1,3.276422996,0.076923077,993841.2384,1013247.081
4454,387275.1378,13396.43068,0,0,0,113.1165124,14.44185267,1,3.164873068,0.040816327,993986.0081,1013499.403
4455,387084.4487,13268.01057,0,0,0,113.4139421,14.43926679,1,3.238108529,0.059961315,993975.45,1013649.966
4456,387500,12796.87011,0,0,0,114.0671463,14.43803024,1,3.686458349,0,993822.7163,1014121.473
4462,537424.9375,11572.77928,0,0,0,119.131489,14.41441417,1,3.230608851,0.03125,994071.048,1015925.219
4463,537411.8269,11523.45434,0,0,0,119.3714327,14.41391607,1,3.350298671,0.134615385,994079.1608,1016000.757
4499,546424,8481.533317,0,1,0,107.2498169,14.446558,0,2.467021465,0,994133.6242,983348.6154
4500,546435.4,8310.068196,0,1,0,107.2981857,14.44632168,0,2.696446657,0.2,994149.9679,983688.8554
4501,546431.4286,8277.280727,0,1,0,107.4679762,14.44541182,0,2.285365411,0.142857143,994290.4685,983987.6971
4503,546466.5,7923.928514,0,1,0,107.4955902,14.44541168,0,2.398290157,0,994194.4937,984555.6932
4504,546389,7730.784315,0,1,0,107.560112,14.4451828,0,2.328656912,1,994146.2478,984903.8291
4505,546342.2143,7662.070228,0,1,0,107.6872711,14.44472218,0,2.38123485,0.142857143,994224.1392,985264.4147
4506,546237.6,7633.701503,0,1,0,107.8327499,14.44422531,0,2.423033905,0.4,994313.1828,985586.0749
4507,547840.8056,7566.076377,0,1,0,107.8953929,14.44412133,0,2.362738709,0.361111111,994329.5377,985854.2898
4508,332420.5,7538.009476,0.015151515,1,0,108.0120532,14.44386703,0.5,2.292134375,0.106060606,994379.9455,986130.7911
4509,116548,7540.976058,0,1,0,108.0650711,14.44374943,1,2.267011166,0,994418.4663,986265.69
4548,46888.04545,8480.336481,0,1,0,84.96845939,14.80991734,1,1.824640447,0.954545455,994260.4315,998240.8345
4549,45944.4573,8546.103351,0,1,0,85.2879125,14.83698289,1,1.800971531,0.966942149,994256.2878,998401.0171
4550,44883.21069,8684.472782,0.003144654,1,0,85.88246409,14.89007629,1,1.758617888,0.968553459,994248.7992,998720.1117
4551,44838.31579,8863.40373,0,0.815789474,0,86.50951426,14.89619662,1,1.733159732,0.789473684,994337.7298,998931.6725
4552,46777.92105,9114.774258,0,0.026315789,0,87.1763143,14.91629194,1,1.713535409,0.052631579,994394.863,999335.5277
4553,160538.2727,9285.492548,0,0,0,86.91067366,14.94676694,1,1.79973016,0.818181818,994334.7824,999751.1524
4554,160575.7885,9324.93173,0,0.156593407,0,86.3854944,14.96895868,1,1.879108408,0.925824176,994271.3769,999915.3455
4555,161554.7631,9520.427849,0,0,0,86.66361807,14.94429643,1,2.008878737,0.904615385,994300.3712,1000213.459
4556,162377.1839,9671.894644,0,0,0,86.73489197,14.92761031,1,2.071473763,0.855172414,994279.2984,1000495.882
4557,163513.4888,9877.03372,0,0,0,87.26132303,14.89389618,1,2.103160629,0.943820225,994284.3384,1000821.719
4558,163854.5313,10052.91019,0,0,0,87.84394593,14.86765622,1,2.094762498,0.94375,994285.4034,1001097.343
4559,178032.7265,10199.16435,0,0.358974359,0,88.40092116,14.84902728,1,2.066756336,0.965811966,994280.4136,1001328.042
4560,165131.9191,10440.04852,0,1,0,89.34708219,14.82849455,1,2.047494438,0.687861272,994250.0498,1001721.441
4561,169967.2605,10657.20084,0,0.976744186,0,90.37118438,14.80881847,1,2.067430376,0.688372093,994272.5908,1002014.143
4562,177478.2569,10872.11554,0,0.541501976,0,91.34182585,14.79348195,1,2.109802341,0.798418972,994288.8041,1002304.253
4563,218835.1921,11096.95,0,0.165562914,0,92.37551941,14.7767455,1,2.199582695,0.745033113,994323.6622,1002603.535
4564,217239.6514,11266.87713,0,0.112980769,0,93.16012913,14.76549315,1,2.262337423,0.271634615,994288.8255,1002929.124
4565,188821.2391,11413.20848,0,0.047138047,0,93.79287219,14.75465936,1,2.28415398,0.535353535,994271.2262,1003186.952
4566,168209.9433,11616.35989,0,0,0,94.61489817,14.73876134,1,2.283225596,0.836879433,994263.1933,1003515.58
4567,422225.2178,11829.76538,0,0,0,95.46846027,14.72031081,1,2.272001477,0.589108911,994266.7903,1003867.755
4568,422565.2226,11942.31084,0.003424658,0.030821918,0,96.10230741,14.70529863,1,2.25001268,0.616438356,994290.3943,1004123.637
4569,423390.5721,12016.0059,0,0.237209302,0,96.55873977,14.693912,1,2.236710909,0.241860465,994279.0115,1004350.163
4572,421958.4483,12341.94037,0,0,0,98.24379073,14.64992984,1,2.332192232,0.931034483,994161.3168,1005258.252
4579,403630.625,12799.366,0,0,0,102.7188244,14.55454683,1,2.817105035,0.875,994385.886,1007521.594
4580,403488.4444,12843.08893,0,0,0,102.9182809,14.55366532,1,2.74350761,0.611111111,994373.9383,1007615.519
4581,407498.2623,13022.09831,0.016393443,0,0,103.6754292,14.55177315,1,2.852410879,0.68852459,994335.9187,1008018.954
4582,409702,13079.83467,0,0,0,104.009819,14.54914856,1,2.945791483,0.666666667,994332.6372,1008171.718
4585,408777.5,13478.83323,0,0,0,106.0509796,14.54576397,1,3.044603825,0,994298.986,1009188.694
4586,408701.2893,13532.3242,0,0,0,106.6951167,14.53498448,1,3.062739853,0.685950413,994358.0944,1009485.752
4587,407898.8286,13843.1937,0,0,0,107.222307,14.53784782,1,2.950567729,0.828571429,994160.5178,1009895.98
4588,374465.1739,13808.37918,0,0,0,107.8540795,14.51974956,1,2.829905697,0.739130435,994274.1719,1010138.991
4589,352785,13773.60272,0,0,0,108.1363373,14.51045322,1,2.766997337,1,994351.3426,1010263.705
4592,378070.3503,14202.30256,0,0,0,109.9827929,14.48446766,1,3.205085147,0.134730539,994316.3734,1011380.867
4593,386482.8725,14325.23908,0,0,0,110.2744351,14.47890011,1,3.284024283,0.107843137,994275.475,1011604.261
4594,389494.619,14478.29725,0,0,0,110.6946285,14.47091312,1,3.223966388,0.151785714,994235.5275,1011909.059
4595,390496.8565,14532.35041,0,0,0,111.0779744,14.46317796,1,3.202019277,0.230434783,994235.0742,1012149.468
4596,388435.0884,14375.98079,0,0,0,111.6656836,14.45258102,1,3.227262658,0.189686924,994251.9834,1012491.995
4597,367629.5789,14089.76249,0,0,0,112.6468494,14.43539193,1,3.217966582,0.105263158,994390.1132,1012937.926
4598,367238.7845,13950.58587,0,0,0,112.9162457,14.43276224,1,3.159273544,0.060344828,994384.6783,1013105.781
4599,368124.4545,13824.73564,0,0,0,113.3109651,14.42818971,1,3.122327978,0.090909091,994404.3371,1013276.232
4600,387440.8438,13348.00016,0,0,0,113.7254114,14.43256208,1,3.365972564,0.09375,994151.9591,1013681.324
4606,538880.2308,11949.86388,0,0,0,119.2178767,14.40938876,1,3.283072875,0.153846154,994335.0172,1015657.011
4607,538667.1667,11795.16467,0,0,0,119.5741901,14.4094942,1,3.322636666,0.122710623,994303.7095,1015840.543
4608,537002.8107,11586.96993,0,0,0,120.2703438,14.40927521,1,3.497360308,0.108355091,994279.5826,1016107.373
4609,534824.6038,11403.92005,0,0,0,121.1683311,14.40804679,1,3.937030771,0.137221269,994310.8522,1016398.299
4648,546402,8167.261498,0,1,0,107.6590881,14.44450378,0,2.307219982,0,994435.3037,984494.1783
4649,546336.5,8148.148361,0,1,0,107.967926,14.44309807,0,2.252836943,0,994631.8681,984976.2106
4652,548470.9688,7747.425329,0.03125,1,0,108.097672,14.44322452,0,2.302231528,0.4375,994529.8318,985888.8049
4653,193295.4661,7698.480625,0.033898305,1,0,108.160403,14.44316456,0.813559322,2.299047411,0.322033898,994537.2419,986096.5275
4654,332452,7684.404313,0,1,0,108.2402,14.44301987,0.5,2.230259895,0.5,994568.6464,986276.487
4657,546867,7184.27094,0,1,0,108.3800507,14.44414616,0,2.248765469,0,994455.6455,987314.0779
4662,546853.5,6946.004715,0,1,0,108.9018936,14.44778585,0,2.107605815,1,994636.3198,988790.0077
4693,37923.5,8840.681917,0,0,0,86.24674988,14.69854927,1,1.886038214,0.75,994715.4038,998104.4463
4694,44550.10843,8867.607707,0,1,0,86.35068949,14.77961436,1,1.800612406,0.951807229,994584.4178,998460.7144
4695,44115.30363,8995.549797,0,1,0,87.09887438,14.81443145,1,1.751466249,0.930693069,994586.6052,998744.3763
4696,44034.8694,9089.063234,0,0.630597015,0,87.58897964,14.83817223,1,1.730481824,0.884328358,994579.2524,998959.5132
4697,46669.32184,9268.569579,0.003831418,0,0,88.10272112,14.87360297,1,1.707195273,0.022988506,994557.7674,999361.9549
4698,53718.92857,9407.153611,0,0,0,88.52228868,14.87026479,1,1.752386183,0.821428571,994593.7425,999570.3979
4699,159985.1204,9557.928912,0,0,0,88.39877539,14.88121417,1,1.923460719,0.959854015,994547.5678,999922.1079
4700,160191.83,9725.50729,0,0,0,88.62952003,14.86627764,1,2.021708129,0.858299595,994557.7345,1000204.613
4701,162234.2597,9904.176275,0,0,0,88.92193941,14.84395056,1,2.072029075,0.931343284,994558.7355,1000509.496
4702,162834.4436,10104.08799,0,0,0,89.47286131,14.81622497,1,2.09017425,0.975490196,994578.3687,1000814.837
4703,160574.2311,10278.55171,0,0,0,89.96335046,14.79762146,1,2.079265681,0.93625498,994581.3965,1001092.184
4704,155679.6931,10489.41506,0,0,0,90.66858698,14.78047178,1,2.053537232,0.906137184,994594.3485,1001406.884
4705,153959.9517,10686.38477,0,0.109414758,0,91.23803202,14.77546216,1,2.044715935,0.989821883,994560.8096,1001745.516
4706,154282.1319,10883.87866,0,0,0,92.04269397,14.76515916,1,2.0689907,0.980769231,994596.7741,1001999.434
4707,165762.2815,11056.0532,0,0,0,92.53633216,14.76448601,1,2.129328474,0.950331126,994548.9392,1002300.743
4708,218870.1271,11246.70319,0,0,0,93.16199186,14.75938782,1,2.21101463,0.343220339,994512.9569,1002610.767
4709,218265.5272,11386.24963,0,0,0,93.69918757,14.75288813,1,2.265678268,0.233695652,994488.8068,1002864.14
4710,204150.0857,11540.71787,0.028571429,0,0,94.33757237,14.74280009,1,2.315098558,0.171428571,994467.735,1003176.487
4711,168559.5,11649.93961,0,0,0,95.2048027,14.72575194,1,2.322472889,0.071428571,994527.5455,1003489.391
4712,422042,11811.192,0,0,0,95.94865417,14.70896053,1,2.267600616,1,994427.6328,1003947.697
4713,423027.3894,11801.13822,0.008849558,0,0,96.47450803,14.6957024,1,2.247754646,0.522123894,994472.1317,1004152.961
4714,423615.0533,11821.6213,0,0,0,96.77713847,14.68775323,1,2.252452304,0.12,994479.0132,1004306.532
4715,423695,11773.30378,0,0,0,97.5760498,14.66480541,1,2.493271112,0,994600.4571,1004658.746
4721,403926,12314.09853,0,0,0,101.1374283,14.56872177,1,3.109858751,0,994607.151,1006645.517
4723,401773.5,12423.47299,0,0,0,102.3935614,14.54707372,1,2.566426903,0.875,994688.6819,1007252.343
4724,403485.4196,12592.19643,0,0,0,102.6495079,14.54810528,1,2.666100051,0.968627451,994573.5166,1007431.201
4725,403459.8333,12686.81022,0,0,0,103.2319484,14.54289861,1,2.659560533,0.760162602,994578.0124,1007714.122
4726,403636.5857,12796.86229,0.042857143,0,0,103.6861815,14.54156659,1,2.701454248,0.6,994549.6858,1007947.892
4727,402699.8,12746.20163,0,0,0,104.3232536,14.53074379,1,2.848252392,0.6,994698.4582,1008194.9
4731,408613.7723,13435.57307,0,0,0,107.0818062,14.52174129,1,3.007623604,0.722772277,994496.3812,1009596.32
4732,408598.898,13439.04181,0,0,0,107.3495563,14.51594997,1,2.969354698,0.795918367,994526.2679,1009710.086
4736,386659.5544,13797.89772,0,0,0,110.0081537,14.47368827,1,3.139958395,0.331606218,994639.0948,1011103.319
4737,374584.3082,13940.01821,0,0,0,110.2559883,14.47042799,1,3.149193922,0.212578616,994573.0934,1011316.147
4738,377073.0292,14085.21631,0,0,0,110.6742248,14.46245395,1,3.187328823,0.156089194,994540.101,1011617.214
